Date,Hour,Demand
2/20/2017,18,580
2/20/2017,19,434
2/20/2017,20,274
2/20/2017,21,164
2/20/2017,22,109
2/20/2017,23,40
2/21/2017,0,12
2/21/2017,1,14
2/21/2017,2,4
2/21/2017,3,7
2/21/2017,4,5
2/21/2017,5,76
2/21/2017,6,274
2/21/2017,7,748
2/21/2017,8,996
2/21/2017,9,381
2/21/2017,10,250
2/21/2017,11,318
2/21/2017,12,392
2/21/2017,13,319
2/21/2017,14,287
2/21/2017,15,456
2/21/2017,16,687
2/21/2017,17,1266
2/21/2017,18,934
2/21/2017,19,554
2/21/2017,20,338
2/21/2017,21,281
2/21/2017,22,143
2/21/2017,23,73
2/22/2017,0,28
2/22/2017,1,11
2/22/2017,2,4
2/22/2017,3,2
2/22/2017,4,8
2/22/2017,5,85
2/22/2017,6,300
2/22/2017,7,790
2/22/2017,8,1093
2/22/2017,9,428
2/22/2017,10,255
2/22/2017,11,290
2/22/2017,12,382
2/22/2017,13,390
2/22/2017,14,375
2/22/2017,15,474
2/22/2017,16,775
2/22/2017,17,1289
2/22/2017,18,1015
2/22/2017,19,604
2/22/2017,20,443
2/22/2017,21,343
2/22/2017,22,185
2/22/2017,23,90
2/23/2017,0,29
2/23/2017,1,19
2/23/2017,2,2
2/23/2017,3,3
